"peak","time","overall","prevalence","theta_vir_beta","theta_vir_lambda","theta_vir_eta","sim"
0.000344395531482689,80.64,0.837123075119325,0.27,0.8,1,0.8,4
0.000343587009256352,80.69,0.836018724804962,0.28,0.8,1,0.8,4
0.000342747475304495,80.75,0.83487079759629,0.29,0.8,1,0.8,4
0.000341875473801601,80.81,0.833677187490842,0.3,0.8,1,0.8,4
0.000340969422010839,80.87,0.832435687736818,0.31,0.8,1,0.8,4
0.000340027706986601,80.94,0.831143990781326,0.32,0.8,1,0.8,4
0.000339048550462961,81.01,0.829799686773648,0.33,0.8,1,0.8,4
0.00033803022917106,81.08,0.828400263393749,0.34,0.8,1,0.8,4
0.000336970824507399,81.15,0.826943106779139,0.35,0.8,1,0.8,4
0.000335868310176679,81.23,0.825425503803425,0.36,0.8,1,0.8,4
0.000334720707488245,81.31,0.82384464600082,0.37,0.8,1,0.8,4
0.000333525874004925,81.39,0.822197635477575,0.38,0.8,1,0.8,4
0.000332281607068552,81.48,0.820481493201716,0.39,0.8,1,0.8,4
0.000330985911561887,81.57,0.818693503736428,0.4,0.8,1,0.8,4
0.000329635627913549,81.67,0.816829561591497,0.41,0.8,1,0.8,4
0.000328229239208166,81.77,0.814887525749807,0.42,0.8,1,0.8,4
0.00032676400705528,81.87,0.812863906342053,0.43,0.8,1,0.8,4
0.000325237525149402,81.98,0.810755560805542,0.44,0.8,1,0.8,4
0.000323647405747529,82.1,0.808559394268979,0.45,0.8,1,0.8,4
0.000321991130705079,82.22,0.806272400264037,0.46,0.8,1,0.8,4
0.000320266435954453,82.35,0.803891708932159,0.47,0.8,1,0.8,4
0.000318471006922671,82.49,0.801414643498358,0.48,0.8,1,0.8,4
0.000316602802733823,82.63,0.798838785727999,0.49,0.8,1,0.8,4
0.000314659849812549,82.78,0.796162050963933,0.5,0.8,1,0.8,4
0.000312640507406092,82.94,0.793382773152192,0.51,0.8,1,0.8,4
0.000310543434432597,83.11,0.790499799969692,0.52,0.8,1,0.8,4
0.000308367807184129,83.28,0.787512597756795,0.53,0.8,1,0.8,4
0.000306113153124121,83.47,0.784421365398056,0.54,0.8,1,0.8,4
0.000303779669878546,83.67,0.781227155566229,0.55,0.8,1,0.8,4
0.000301368318196549,83.88,0.77793200081968,0.56,0.8,1,0.8,4
0.000298880880115093,84.1,0.774539040936127,0.57,0.8,1,0.8,4
0.000296320024146479,84.33,0.771052646541375,0.58,0.8,1,0.8,4
0.000293689608981185,84.58,0.767478532618938,0.59,0.8,1,0.8,4
0.000290994563581615,84.85,0.763823853921336,0.6,0.8,1,0.8,4
0.000288241201783113,85.13,0.760097272695356,0.61,0.8,1,0.8,4
0.000285437168618452,85.42,0.756308987807626,0.62,0.8,1,0.8,4
0.000282591384565489,85.74,0.752470713287613,0.63,0.8,1,0.8,4
